frame_id,host_recv_iso,png_path,h,w,dir_l,dir_r
1,00:46.7,C:\Users\28693\Desktop\udp\frames_png\frame_000001.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,3,7,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,5,4,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
2,00:46.7,C:\Users\28693\Desktop\udp\frames_png\frame_000002.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
3,00:46.7,C:\Users\28693\Desktop\udp\frames_png\frame_000003.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,3,7,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,5,4,3,3,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
4,00:46.8,C:\Users\28693\Desktop\udp\frames_png\frame_000004.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
5,00:46.8,C:\Users\28693\Desktop\udp\frames_png\frame_000005.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
6,00:46.8,C:\Users\28693\Desktop\udp\frames_png\frame_000006.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
7,00:46.9,C:\Users\28693\Desktop\udp\frames_png\frame_000007.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,5,4,3,3,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,5,4,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
8,00:46.9,C:\Users\28693\Desktop\udp\frames_png\frame_000008.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
9,00:46.9,C:\Users\28693\Desktop\udp\frames_png\frame_000009.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,3,7,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,5,4,3,3,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
10,00:47.0,C:\Users\28693\Desktop\udp\frames_png\frame_000010.png,120,188,"[3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,5,4,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,4,4,4,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5]"
