frame_id,png_path,frame_host_iso,h,w,log_host_iso,log_stm32_ts_us,log_text_utf8,host_dt_diff_ms,log_text_hex
1,C:\Users\28693\Desktop\udp\frames_png\frame_000001.png,2025-10-24 11:50:47.953919,120,188,,,,,
2,C:\Users\28693\Desktop\udp\frames_png\frame_000002.png,2025-10-24 11:50:47.961962,120,188,,,,,
3,C:\Users\28693\Desktop\udp\frames_png\frame_000003.png,2025-10-24 11:50:47.985140,120,188,,,,,
4,C:\Users\28693\Desktop\udp\frames_png\frame_000004.png,2025-10-24 11:50:48.058881,120,188,,,,,
5,C:\Users\28693\Desktop\udp\frames_png\frame_000005.png,2025-10-24 11:50:48.075020,120,188,,,,,
6,C:\Users\28693\Desktop\udp\frames_png\frame_000006.png,2025-10-24 11:50:48.093513,120,188,,,,,
7,C:\Users\28693\Desktop\udp\frames_png\frame_000007.png,2025-10-24 11:50:48.144565,120,188,,,,,
8,C:\Users\28693\Desktop\udp\frames_png\frame_000008.png,2025-10-24 11:50:48.166442,120,188,,,,,
9,C:\Users\28693\Desktop\udp\frames_png\frame_000009.png,2025-10-24 11:50:48.254357,120,188,,,,,
10,C:\Users\28693\Desktop\udp\frames_png\frame_000010.png,2025-10-24 11:50:48.262608,120,188,,,,,
11,C:\Users\28693\Desktop\udp\frames_png\frame_000011.png,2025-10-24 11:50:48.271087,120,188,,,,,
12,C:\Users\28693\Desktop\udp\frames_png\frame_000012.png,2025-10-24 11:50:48.364076,120,188,,,,,
13,C:\Users\28693\Desktop\udp\frames_png\frame_000013.png,2025-10-24 11:50:48.378378,120,188,,,,,
14,C:\Users\28693\Desktop\udp\frames_png\frame_000014.png,2025-10-24 11:50:48.395178,120,188,,,,,
15,C:\Users\28693\Desktop\udp\frames_png\frame_000015.png,2025-10-24 11:50:48.469551,120,188,,,,,
16,C:\Users\28693\Desktop\udp\frames_png\frame_000016.png,2025-10-24 11:50:48.469551,120,188,,,,,
17,C:\Users\28693\Desktop\udp\frames_png\frame_000017.png,2025-10-24 11:50:48.495562,120,188,,,,,
18,C:\Users\28693\Desktop\udp\frames_png\frame_000018.png,2025-10-24 11:50:48.560102,120,188,,,,,
19,C:\Users\28693\Desktop\udp\frames_png\frame_000019.png,2025-10-24 11:50:48.571480,120,188,,,,,
20,C:\Users\28693\Desktop\udp\frames_png\frame_000020.png,2025-10-24 11:50:48.593776,120,188,,,,,
21,C:\Users\28693\Desktop\udp\frames_png\frame_000021.png,2025-10-24 11:50:48.665879,120,188,,,,,
22,C:\Users\28693\Desktop\udp\frames_png\frame_000022.png,2025-10-24 11:50:48.675968,120,188,,,,,
23,C:\Users\28693\Desktop\udp\frames_png\frame_000023.png,2025-10-24 11:50:48.706278,120,188,,,,,
24,C:\Users\28693\Desktop\udp\frames_png\frame_000024.png,2025-10-24 11:50:48.780074,120,188,,,,,
25,C:\Users\28693\Desktop\udp\frames_png\frame_000025.png,2025-10-24 11:50:48.781171,120,188,,,,,
26,C:\Users\28693\Desktop\udp\frames_png\frame_000026.png,2025-10-24 11:50:48.861438,120,188,,,,,
27,C:\Users\28693\Desktop\udp\frames_png\frame_000027.png,2025-10-24 11:50:48.872892,120,188,,,,,
28,C:\Users\28693\Desktop\udp\frames_png\frame_000028.png,2025-10-24 11:50:48.878404,120,188,,,,,
29,C:\Users\28693\Desktop\udp\frames_png\frame_000029.png,2025-10-24 11:50:48.989307,120,188,,,,,
30,C:\Users\28693\Desktop\udp\frames_png\frame_000030.png,2025-10-24 11:50:48.994551,120,188,,,,,
31,C:\Users\28693\Desktop\udp\frames_png\frame_000031.png,2025-10-24 11:50:49.008806,120,188,,,,,
32,C:\Users\28693\Desktop\udp\frames_png\frame_000032.png,2025-10-24 11:50:49.082826,120,188,,,,,
33,C:\Users\28693\Desktop\udp\frames_png\frame_000033.png,2025-10-24 11:50:49.082826,120,188,,,,,
34,C:\Users\28693\Desktop\udp\frames_png\frame_000034.png,2025-10-24 11:50:49.101941,120,188,,,,,
35,C:\Users\28693\Desktop\udp\frames_png\frame_000035.png,2025-10-24 11:50:49.170928,120,188,,,,,
36,C:\Users\28693\Desktop\udp\frames_png\frame_000036.png,2025-10-24 11:50:49.179544,120,188,,,,,
